text,expected_label
'i wanna go to prom one day   'i wish U can go with me 2 my prom even though im not a guy.but thatwouldmake1of myFRIENDS happy,positive
 - You can do yiiiit!  Night,positive
i have become my mothers slave.,negative
The arrival of cargo Red G5 to Toronto has been postponed til tomorrow afternoon.  gonna miss my lil bro`s bday...he`s been waiting 4 me!,negative
 Really?? I feel special,positive
"cALL mE wiErD, bUt I jUs LuV rAiNy DaYs! MaKeS mE feeL sO waRm & cOzY iNsIdE  LoL",positive
I cant watch anythgin till tonight,negative
My baby is going to her first sleepover tonight   I`m gonna need a lot of wine to get me through today,negative
  she was sleep and then she woke up to check on me see if i was cold or hot i love my mom,positive
Rainy Mondays... Is there a better day to work at home?? I am thankful!!,positive
SMH @ PPL WHO ONLY TWIT U UP ON FRIDAYS B/C U GOT 100+ FOLLOWERS AND THEY`RE STILL BANKING 15-20  #NOFAKERY,negative
"_Kimbalicious Lol! I was just walking  I think its all the polish I used while cleaning earlier, its made the floor slippery!",positive
reeeejuvinated  and bored as hell.,negative
"bored, nothing to do",negative
 Sounds nice! If you try the recipe you gotta tell me how it turned out!,positive
last day of classes!!,positive
 i know  but the weather`s clearing and suppose to be nice sat and sun,positive
now accepting maid applications.  would be nice if you`d start first thing tomorrow - would make a wonderful Mother`s Day present!,positive
happy mother`s day!!!,positive
 Good morning to you. Hope you have a nice productive day,positive
Eating a bagel  yummy,positive
"Can`t sleep, just laying here in the dark",negative
 I don`t. I hope it takes them a good long while to recover.,negative
Last day of college today!,positive
    Lmao Yes its on the 27th  I get so excited lol,positive
 Have a great weekend Mononoke  I may be tweeting from inside the movie theater either Monday or Tuesday  lol,positive
" no, but I will. It just seems such a cruel condition",negative
There`s starwars day? ) OMG Rocio!,positive
 Doing really well! I will stay here as long as is needed!  So you can definitely come and visit me!! Look forward too ...,positive
 haha that photo is too funny! I hope he wasn`t disturbed by passengers too much during the flight,positive
Got moommy somn special for mothers day,positive
i am talking on the phone!!!!!! to paul!!!,positive
"@_elj OK nice one, cheers boss.  Am liking the lack of FCS today.",positive
 haha. that`s awesome. good job,positive
6th street was amazing this weekend!!! The wedding was fantastic.. but im really really tired at work from the long eventful weekend,positive
happy mother`s day!!!     gr8 day,positive
Watched `The boy in the striped pj`s` the other day too..one of the best films I`ve ever seen.,positive
Gotta buy some onesies for my besties lol ah Yea!  at the club having a grand ol time,positive
Lan Poker is so much fun!!!!  Someone help me remember ki compre chal raha hai abhi!!!!,positive
" thanks.mine wasn`t too bad. Made a card for my mom, had a nice nap, finished some work, wrote bills, I have a surprise for you",positive
i feel less than nothin`.. lower than zero..,negative
 it wont work in the uk,negative
Claude Debussy is my homeboy,positive
 I saw them a few on this tour a few months ago in Boston. So good! Glad you finally got to see them,positive
 ah same  how was oliver?? so anooyed i couldnt come. we are the only ones with twiiter  its great! x,positive
"*sigh* my  USB died on my this afternoon. R.I.P, you will be missed! I hadn`t even had the chance to parade you around yet",negative
" mmm thanks, if u get too stoned and eat it thats cool",positive
 really??,negative
i got a bruise on my foot out if nowhere!  it hurts!,negative
 If you mention this twitter group to your followers I would be very grateful,positive
Headed to drop my lil cuz off at the bus stop! Then its back to the bed to read my book!  relaXin on my day off.,positive
 oh yeah...haven`t seem that in ages!! got to watch that soon!! thanks for reminding me!!,positive
"_The_BC well, in the end, everyone`s happy (most of the time)",positive
"Good morning, everyone!",positive
Came home after getting ratty in a shop with the staff and a blister on the foot. Meh,negative
"one of my favorite, most relaxing songs to wake up to: http://tinyurl.com/c8fr3e Good morning.",positive
"Oh ffs :@ a don`t get paid till monday :@:@:@ :$. Sorry william, gonna have to wait till next weekend till I give you ï¿½  :@",negative
First ever dropped call on my mobile. On a call to  no less! ( being charged for data even though I have a data pack  ),negative
"Come on bell, RING. I want to go outside.",positive
 i don`t know what lender it was? yea these people definitely sucked butt toes. NOT friendly or helpful.,negative
"NIN App Gets Rejected by Apple, Reznor Threatens to go Jailbreak - always entertaining  http://viigo.im/sXB",positive
 Same  also trying to get my house ready to sell... I can`t believe how much **** I own !,negative
"Its friday and i`m sick, story of my life...",negative
FO SHOWWW,positive
just came back from a nice bike ride with her family and is now refreshed thanks to a shower,positive
Have a slight headache,negative
 Yes! You do!,positive
Alexander Ovechkin is definitely my new favorite NHL player,positive
  We forgive you and we have missed you!,positive
i miss our walks home together,negative
so this my last week of school then finals yesss,positive
Finished new moon! Woo! Now i want the next one...,positive
im tweeting... this is so hard... i dont get it...,negative
http://twitpic.com/4wc1y - Cracking myself more & more up..  PhootoBoothingisFunForBunny Volumen Eins!,positive
Aw .. the grillz in my background look like plaque ..,negative
I like taking my dogs with me in the car when I run errands. They are always excited to go anywhere. like this morning to Krogers.,positive
"Just an observation: Aside from the riverwalk, there are pretty much no cute girls in downtown sa",negative
"Looking to sketch final catwalk outfit, i really REALLY want my long pink hair back. i also want to dye my models hair pink not allowed",positive
" Hey, look who`s on twitter   Very kewl",positive
blahh i`m tired and i gotta go to the airport to pick my mom up! && im bored but on the upside im listening to the backstreet boys,negative
says: 'Happy Mothers Day!',positive
Going to IKEA with the roomie so she can shop for her apartment. IKEA is in like my top ten stores that I love,positive
Where is the sun!!,negative
 it wont work for me,negative
wow what a lovely day! Shame i have to clean my room,positive
" LOL she is okay, its just he songs are so catchy they get stuck in my head",positive
" Oh, awesome, I have Yahooo!  Good night, sleep tight, don`t let the bed bugs bite!",positive
" Not allowed to call as I live in the UK, my parents say it will cost to much  Sucks !!",negative
i wanna watch PCD concert dad,positive
 its not a starfleet one  its not even a romulin one  its like the random one i dont remember ha. and you cant wear it! lame,negative
"Man, Monday sucks. What I wouldn`t give to be a rich beach bum, diving in a tropical lagoon every day, eating fresh fruit and fish...ahhh",negative
 it wont let me,negative
Boy is all graduated!  So proud of him!,positive
i wanna be in michi with my moma!! Love you Mom,positive
 Thanks!,positive
Laying in bed with a book & some beautiful music.  thank you kaki & nicholas sparks.,positive
 make up your mind,negative
"has just finished reading Twilight and thought it was ****...okay, it was alright...okay, i love it and really wanna read the next one",positive
It just occured to me..... tonight is Cheri`s Prom Night......I was suppose to go with her...... 970 miles makes that kind of difficult.,negative
 ROFLMAO! I feel inspired to go start a huge bonfire now,positive
 Warren has just died.. hannah has been killed.. and I`m gutted!!! I love warren (even if he is nasty!!),negative
I didn`t get the job at Berry Line after all.,negative
 SC2 will be released before D3  Hopefully!,positive
yEssss!!! goT ma TwiN oN LoCK!!!  weLcomE tWiiN,positive
Happy Star Wars Day everyone!  Whats everyone up to this rainy bank holiday?  I am heading out soon for coffee with my mum then shopping,positive
 ugh... I know the economy is depressing...,negative
" Oh, I`m jealous (how surprising)",negative
 Thanks! We`re almost there,positive
Will miss my baby for 2 days,negative
 mom said no.,negative
  Is there going to be any more TAI TV? Ah I hope so,positive
"Every time I pay off my library fine, I get a new one.  I`m a bad patron",negative
"Baking experiment results: delicious, very sweet, very rich.  Almost too sweet.",positive
 I`m just bustin` ya chops; it`s not bad. Never seen any real appeal to last.fm is all. Bad quality audio from **** artists,negative
"Love song for the night, 'Then' by Brad Paisley.  Happy Mother`s Day   Love & Light ~ Joy",positive
just when i get the music to start playing..i clicked 'home',negative
"Ohhhh man  My mom got a bag of these caramel candy things, they`re soooo good. I`m going to get so fat off of them ;__;",positive
 As long as you take me with you,positive
This chair is not comfortable at all,negative
The battle at Minas Tirith is still very impressive. Return of the Jedi is the best Lord of the Rings movie IMO.,positive
 unless you`re gretel killeen apparently. you did look pretty **** good,positive
 hehehe hello!!! how are you? good to see you on twitter!!,positive
 I want to call you but it would cost to much  But Maybe my parents will say okay =D,positive
"Ok, WTF?! Why do you have something on your menu *in the window* if you don`t sell it?! I wanted my bubble tea",negative
 no I wish. Just a van that comes round. We missed him,negative
 p.s. i heart your face,positive
 always be your self and thing will go on without no problem and do you even try hard to be your self ... Just be ...and smile,positive
 Not been on for a while eh Barry lol.Tweet deck is like prehistoric lol,positive
" yes, i found you! come to greenville. perfect weekend for pictures and no sidekick to go shooting with",positive
"Getting closer to logging in. My left hand is so swollen, I can`t wear my wedding ring. I keep forgetting and worrying that I lost it.",negative
"grr!  i hate being **** near forced to go places.  especially to sit on a bus for an entire day just to sit in a house in podunktown, va",negative
"I`m addicted to the Jonas Brothers` new single `Paranoid`! It`s awesome!! If you haven`t heard it already, go check it out!!",positive
u ever have a friend that u just wonder why are we friends? i know what you get from me but i`m questioning what i`m getting from u.,negative
"night out had 2 b put on hold 4 2 weeks coz i was so ill last nite, gutted! still had a nice nite tho  but whers the sun gone!",negative
Went to the hawksmoor last night and probably had the best  steak I`ve ever had,positive
 so looking forward to your new album,positive
Omg. i love my parents i juss got a lavender camera as an early birthday present!!!,positive
" it`s the small things in life that count, like being on a blur photograph of google streetview..  keep following !!!",positive
_skies miss you too :`( it is!i never want to come home.....seriously,negative
 What do you mean by your portfolio is sad?  No luck here.  I`ve applied about 30 places so far.,negative
happy momies day  http://bit.ly/Skqli,positive
at work......thinking about the rest of my finals...summer almost here,positive
Tooth ache...but still sipping lol at the fam. Partyyyy,positive
I didn`t go to the gym today and I feel bad,negative
 i am! lol its just i got used 2 talkin 2 ya..!,positive
ughhh. i think my plans are ruined. i was excited too.,negative
" I love U2! Lol, I you ever need a slow but good audiobook Oliver Twist is a one I`ve been listening to lately.",positive
"Rope witdrawal in full effect, no one to tie, no teaching, no demos, no one to play with. But worst of all - No one to play with!",negative
is at the salon with my mom  happy mothers day mom!,positive
 lol sweet!!! ...i still have yet to watch the 4th movie  hope ur having a lovely weekend! happy mother`s day from aus! =P haha,positive
 Same to your mom too pril,positive
"_j 4ever, it was in she`s the man aswell  I love them now. I want gossip girl too! Have decided summer = spending lots.",positive
 That`s true  I never believe my staff when they call in sick on Mondays or Fridays - LOL!,negative
" I kind of figured. He`d probably be unable to reason out why a lot of the things in manga happen, or the way they happen.",negative
you can learn a lot from another person.. dont try to out better oneself when its all about love and happiness  goodnight,positive
" I googled him & looked @ a lot of sites... I should have checked here first.  How Exciting, for you both",positive
the sunset view is SO beautiful from my room!,positive
live long and prosper !  lol star trek was the best!,positive
" um that`s really scary, please be safe!  Btw ill be in orlando next week",negative
added 30 minutes to morning sleep by cutting out useless Today Show. Feels nice,positive
i looking at failure,negative
 fell asleep with techno songs on shuffle. Loud.  Its been on for hours. Im too lazy to go turn it off. He has like 800,negative
 Sweet! I`m a Jaycee one-letter-er I think. Just D!,positive
wow its follow friday and i havent tweeted... Fail. And nobody has followed me today  dble fail. *suicide*,negative
 how was your day ? boredom stuck my head,negative
" Thanks, I`m glad you liked it. It`s a flower made of diamonds",positive
closeness or distance? closeness... but now everything seems so distant...,negative
Pulled out the breakfast sausage for Mothers Day. Hopefully the baby sleeps in,positive
 Aww maybe i traumatized her.,negative
Excellent the Suzaku 7 are back together  woop last episode  hope its a happy one i`m a sucker for these really lol shh,positive
 Happy Birthday  Hope you enjoyed us singing to you Wednesday <3,positive
I have cystic lacrimal infectection?? my eye and face are swollen and it hurts!!,negative
 yeahh  idk if i like owen anymore though... i kinda lost respect for him in an episode i recorded...,negative
"  I wasn`t tryin to call you out, I just remember my dad ALWAYS had my **** late. He never got in trouble, I did.",negative
"Well, at least it`s not as bad as I thought. Found a new website to watch movies on and I gotta say.......it`s not bad, not bad at all",positive
http://twitpic.com/4wr8k - Ashley Tisdale - Love the shades girl,positive
 Airsoft is horrible!! Hope you didn`t get hurt,negative
"Sad news, after a week in the hospital, My uncle past away today. R.I.P. Uncle Tony",negative
" I wanna go, but I so freaking broke   Have fun for me",negative
just got rear ended,negative
We*d Man On His Way     Yess!!    Time 2 Wake Up 4 Real  lol,positive
i waited too long to buy pink tickets!  now we`re going to be in nose bleed!!  how sad  we`re taking binoculars...,negative
Haha yea  if i knew yew wanted 2 go i would have told yew,positive
Back at work.....too much email in my inbox....,negative
is updating an old ipod...sad...i miss my orange nano,negative
" me too.  I was in Florida last weekend for the rain.  Came back home to RI, rain.  Terrible",negative
welcomes my nephew to the christian world.,positive
" Loved the shoutout on TweetHampton, congrats!! Hope you`re feeling better, i missed you last weekend",positive
 i`m fake. . Is that the same?   ~K~,negative
 seen him! he`s beautiful,positive
 hehe--sorry.  I`ve never been very good at blending in...,negative
Ok we found our way now... I think  tonight let`s just let go its dance time!,positive
 lol I really wanna go there!! Imma check the vid out rite now,positive
well Sunday the weather looks great gone take my bike to visite my mom on her day,positive
 I miss you!!!! It`s lonely and empty without you!  http://yfrog.com/3o3zxoj,negative
"checked out Green Day on demand & saw the new live videos. U were right, they did blow my mind  I love u SGB, even more all the time, Mom",positive
gutted - the handbag I wanted has been sold!,negative
 Exactly!,positive
"Beta 5 of 3.0 expired today, back on 2.2.1 until the public release. I miss it already",negative
actually loves nesquik cereal,positive
" My #followillfriday sucks because while I was teaching people how to be nice, you **** were drooling over Notion",negative
 heyahh i thought u wern`t cumin to london till the 5th ? i love you taylorr ..****,positive
Heeder`s again and on Monday as well... absolutely no plans for the weekend,negative
"A laodicean life for Kavya & family probably got Kavya her spelling bee crown! Congrats! Note, spell check doesnt recognize laodicean",positive
@_enzo blech... thats a fail when you`re receiving dollars. I quoted a job in USD last month. i`m getting paid now = major losses,negative
"hopping in the shower,   you can help me tidy my room  its a **** hole, mums **** friends",negative
" Yeah, plus I always totally overspend",negative
i dont wanna miss the laker game tonight! i`m so sad,negative
My best friend is in vegas without me,negative
_awake GOOD MIDDAY.,positive
nooooooo  sue is retiring  no no no no!,negative
i saw my credit-card statement. maybe i should receive the unholy Aiden fan package!! yaaaaay.,positive
... A kidney stone. Really?? Ugh  http://tinyurl.com/qsw9vq,negative
Best purchases at today at the yard sales: 2 large dog crates ($30) and a refrigerator for the office ($35) didn`t buy anything old,positive
 No I LOVE Jordie`s version as well as Joe`s and Donnie`s ALL 3 are DIFFERENT,positive
going to watch boy in the striped pj`s hope i don`t cry,negative
" Amazing! The concert, the city, everything. It was really an awesome trip",positive
new supernatural tonight!,positive
I think I would be a good radio dj...I like awesome music and I have a great personality!!!!  ;) !!!   !!!,positive
 addict? Me? Okay I admit I need help  BUT... I have been writing hits big bro. I really really have *smile*,positive
" gangstarr exgirl to the next girl, nas one mic, hold on i still can`t listen so i guess it dont matter",negative
let`s make this last forever.,positive
 It`s your inherent humility,positive
is ready for a productive friday. one of the last of the year,positive
 Bom apetite,positive
 I don`t get as much time here either. It`s going to get worse now that the girls r home for summer.  It stinks.,negative
 why did u copy wot i wrote //hmm,negative
 Yeah ! I downloaded her whole album. :'> THE FAME ! I miss you taking care of me  Hahah !,positive
lol my other tank/dps friend is having the same problem in a different guild.  wtf is wrong with this server?,negative
 *hugs* listening to EBTG 'Each & Every One' perfect for public hol Monday morn with cuppa T,positive
" its a travesty, no? and, the people who are doing this said they`d THINK about involving joss whedon!!!!",negative
Cashflow forecasts are fun but big red numbers aren`t,negative
" that`s the prob, no idea how to meet guys. Met all my exs online & now I`ve dated that pool dry",negative
" Ooh, cutting. I like you",positive
"didnt enjoy having to say goodbye to alex, v emotional times  but the sun is making me happy !",positive
deck building buddy missing in action,negative
 No.  I was thinking just before how much I miss my T-Dub.,negative
Happy Mother`s Day.....................I had a gr8 day with my kids & my MUM,positive
" Awww, here...WAZ UUUUP!!!   Seriously, glad y`all had fun.  Too bad my invite got lost in the mail lol. peace. xo",positive
: eww. dislike,negative
going out for the good ol` `soak` tonight for a mothers day feed.       in love more then ever,positive
"I`m fighting off feeling sick. Hoping it`s just tired. I`m really not feeling too well, though",negative
I didn`t check Twitter till just now. Thanks everyone for all the Congrats! I really really appreciate it  #fb,positive
 Good night Erin!  i wouldn`t say that this is early or that you are old.,positive
so now i dont get my car back til monday. boooo,negative
"got THE best mothers day present from Tys. It made me cry uncontrollably, and it wasn`t a present",positive
Little girls and their shallowness annoy me. On the good side i didnt straighten my hair at all today and it looks some what decent,negative
"$67 for my books, no complaints. 67 more than i had plus i`m on book voucher!",positive
good to have a (boy)friend like you,positive
" ahh, that would be a good reason.. Heh hope that goes well hun",positive
my knee hurts!,negative
"this hole twitter thing is new too me, its not letting me change my picture so your stuvk with the wee stpid thing for now",negative
 no sorry twitter sucks balls since the replys change  #fixreplies,negative
_Rain oh what the hell  way to tell me.,negative
 Your not alone,positive
"FINALLY FINISHED MY **** FILM FINAL!!!  (Well, all except 1 part, but idk how to do it....) :/",positive
" Yeah, planning to do that actually. Got a Kinokuniya discount card, so I`m going to splurge.  Just worried about being overwhelmed.",positive
"better get to sleep, dodger game/mothers day 2maro  ewl i have to wake up at 8!",negative
 Thanks! I will tell her my friends on Twitter say so.,positive
Hate being sick  especially when there`s no one to pamper me,negative
 ohhh beautiful place. You on hols? Go steady on the mead!,positive
i have the bigggest headache,negative
"Fatigue settling in, but gotta power through! Awesome seats again tonight. I`m pretty lucky. Life ain`t too bad...",positive
i know i was wrong. maybe i shouldnt did all of those **** things like that,negative
 you`re welcome Chica,positive
 lmao I`ve never met anyone who liked caramel this much,positive
 oh no I hate that,negative
Movie and popcorn time,positive
 holy cute! Dexter has already lost his kitten face  gettin a chunky butt since we got back from qld too haha,positive
 Naw forget it then. I will only if u take them,negative
#Supernatural at 9:30pm on #Ten.. Counting down..,positive
A Banana and 2 cups of Coffee...Not a so Healthy Breakfast!,negative
and before i crash Grilled Chicken breast w/ reefried beans  Gnite Twitties,positive
Ooh hayfever has struck..thought I was going to avoid it this year but nooo!  Remedies anyone...?,negative
 womp womp woooomp!,positive
 if its too hard go to ur guy peicing person and he shoud change it cause mine be hard to change to,negative
 u were doing good with the replys now u fallin off sad face,negative
learning french  funy school-day today  don`t be mad about english :*:*,positive
  me too! i don`t know why every time i listen to it i start to cry!,positive
Ugh feeling sick to my stomach and I have five more hours of work to go,negative
 Hey I saw SNL 2nite&I loved it!! especially the crumpin` ****-**** scene  'crumpin`34 dub' wow hilarious,positive
 maybe I missed my chance this time,negative
paramore songs? one of the best! currently listening to 'emergency',positive
 Not Columbus but just wanted to say sorry to be missing Indiana show tomorrow. So sad  I will be in the woods with 8 GS.,negative
 A new baby? How exciting  Congrats in advance,positive
" Yes, this NBA song is great!!!  Got an old funny NBA cheerleader remix song. Ohrwurm of the day 'colorblind'.",positive
"Pegel..cape ya keliling kuil..but,totally awesome!was amazed by the temple,culture,ambience..truly amazing thailand",positive
" just looked at your page and realised it was a radio show, get them to play Call It What You Want so love that track",positive
" That`s the problem. The earphones I get here don`t last more than 2 months, no matter what brand or price.",negative
"YM, meebo & ebuddy really hate us      ",negative
 it was only announced in the last few days. Due to cancer I think,negative
 So true Donna  Wish you a joyfull sunday ~Siddy,positive
 Lots of things Nico. Gud news: I have a job Bad news: Its in the middle of nowhere. Got my phone 4 twitter but cnt play videos.,negative
"  cool, i saw it now in the link thanks",positive
" Thx! Old computer here, too slow for both Kubuntu and Blender really.",negative
"A bunny was eating my moms plants. Naturally, she started shooting. No more bunny.",negative
Still Doing Grench paper and still getting distracted,negative
so i got to my exam centre n they said we can`t let u becuz of your sleeveless top! U cud BELIEVE that!? i had to go home,negative
"Fyi- putting makeup on under flourescents = FAIL. ... oh face-peely, why must you look so hideous? Also, wheres my lipstick?",negative
 Sadly cannot listen...  *sob*,negative
Wee are going to the movies tonight to see Wolverine,positive
"friday here at last, not much fun when your skint though",negative
" Don`t fall to celebrity worship, though... just write what you think, do the best you can and rock on",positive
"I`m home, Yay! Unpacked everything, now just got to wash it all",positive
"wow my grandma passed away....I`m too sick to even think, I know she`s in a better place now",negative
" That was my entire week!! I didn`t get to design once while at my GRAPHIC DESIGN job, only at home doing freelance. Sad.",negative
Happy Star Wars day! May the 4th be with you!,positive
it`s good to see all my family  was a good day today,positive
"actually, i think i`m being mean to her....i feel sorry now",positive
 i missed the game,negative
 I don`t mind him not paying rent. I`m just over the moon at the idea of him moving out at least 12 years early,positive
" that`s what i did with my other friends dati e. i could totally do that.  Lian, Eina, Gelli, you, Zero & Francis. we`ll fit!",positive
why do i have to wake up so early goddam?! 7.30 on my last day off  bummer,negative
Always get my hopes up too soon...we were soooo close,negative
  will have to wait on the recipe at Simply Recipes.  Sorries!,negative
"I just put my TV on the Canucks game and they score  yaay come on VanCity baby (I know, I can`t believe I`m watching hockey either)",positive
The Skimchamp Taxi Service!  best in the land!,positive
My knee is killing me,negative
" Plus you guys have IceTV, which I REALLY miss from living there.",positive
"And here goes my first Twitter from #TwitterBerry Application from my #BlackBerry Bold 9000..  Cheers, long live.. #SMR",positive
" Have fun, hon! Ooh, look what a poet I am.",positive
 really enjoyed the podcast with  This was my 1st time listenening to the show. Will def listen from now on,positive
"Gone up to 8mm on my plug. Help, this is where I said I`d go maximum and I still want to stretch it more...",negative
doesn`t sound so great at all  http://is.gd/JslB #palmpre,negative
I should be in NYC right now with some of my favorite people but instead I am stuck in RI.,negative
dam just finished watching Prison Break: the final break...omg i dont think i`ve cried so hard for a show..Finally understand the finale,positive
 why don`t u use twitpic? none of ur pics show up on my phone,negative
 haha maybe someday I will be your publicist! that`s what i am going to school for,positive
" w00t, have a red wine now",positive
_Songs I know  Especially since the summer is such a boring TV time to begin with.,negative
 Alternate name for a 'Bacon Mary'... A 'Bloody Piggy!' ;) (I have to give my boyfriend credit for that idea!),positive
 now that you say that you do look like demi  hahaha!! Yessss august 2nd will be a blast,positive
wondering if my local Borders is going to make it. Lots of bare shelves... It makes me sad,negative
" hey, have a great gig! We`ll have to do exchange of tracks via ze emayal  I`m all lost in loops right now and still writing ****",positive
That sucks that u have 2 go through that  id b pissed 2,negative
 http://twitpic.com/2dmtn - I saw this pic and it reminded me of you in Anna and the King.. so cuuuute little fella,positive
_couper  I`ve heard that. 2 of my sons have seen it and one wants to see it again. I can`t wait to get there,positive
" hi cs, welcome to the twitterverse, if i can help with anything, just ask",positive
Super pumped to do the 'Relay for Life' tonite. I am walking in honor of my sweet Grandpa `06 and my Uncle Howard who past just yesterday,positive
JONAS rocked tonight!  going to bed after I write a lil bit... Night and bless all,positive
" ugh something is wrong, suddenly I feel extremely flushed and shaky and I broke out in a sweat. Idk what`s wrong.",negative
10 Cutest Cat moments video - http://shrt.st/4ce - enjoy,positive
Today is a blessed day,positive
 that doesnt look good at all.,negative
" Good Morning, good wakeup music",positive
Goin to the mall and gonna see the movie ghost of gfs past i hope its good and top it all im goin alone  but ilook cute and feel good ^^,positive
I`m sooo HAPPY Demi`s back on twitter!,positive
http://twitpic.com/4wsue - yeah  well thanks *blushes*,positive
Borrowing my Mom`s Lenovo laptop The trackpad and the battery life suck balls for quarters. Seriously missing my MacBook Pro,negative
 *waves back* Have a good day,positive
 you are a very naughty woman - we sooo have to meet!,positive
"Ugh.. apparantly doc authorized my refills on tuesday (and ready to be picked up), but the order status online still says waiting review.",negative
i believe only my black personality can explain how i feel... that boyfrann of mines gots me sprung,positive
We`re practicing our blackjack skills. It doesn`t look hopeful.  http://yfrog.com/0l2tsj,negative
_crumbles all the best for art attack. thanks 4d follow,positive
"Working on a bank holiday, but I don`t mind - it`s all good fun",positive
"gtg now, listen to cobra`s new song @ their myspace, ttyl  santi <3",positive
_d Wish Leigh a Happy Mother`s Day for me! It`s midnight in NY,positive
is online shopping...fantastic,positive
I`m enjoying this Sunday very much. No parents. No revision. Just like any other Sunday,positive
big hair rock day today me thinks  here I go again to start xxxxx ? http://blip.fm/~5z4p7,positive
 nope- dnt have wireless ne more  HATERS!!!! Ugh... Save me a copy so I can watch it...,negative
" is making cupcakes and says i can`t have any  kelli, you`re a bad sister.",negative
i DID argue with byron because he said im fat,negative
Just uploading photos from the cell...nothin like true candid-ness!,positive
"my entire body hurts.  shower, hot tea and tv please..",negative
because I just lost my first Field Notes notebook 6 pages before filling it up!! RIP  #fieldnotes,negative
is seventeen today  and is trekking from chorleywood to see    and  in cambridge  <3,positive
 alright alright! I will be tuning in and taking notes - remember what I said before (got a spot? raising my handz - both,positive
just spent all day putting up a trampoline but is now too tired to use it...  it is very cool though!!,positive
seriously why did mum make me eat yeah i have a weird eating habit of not eating all day but really,negative
" Wow, I`ve officially lost all faith in Britain, looks like our wishes weren`t met, sadly",negative
well dnt really knw wot to do stay wit some 1 who doesnt want 2 b wiv me or move home to rents after 4yr of bein away,negative
wow! party! my new life! it is awesome! no more girlfriends they just create tons of drama! babes at a party is the way to go!  just w ...,positive
 don`t cut yourself!!,negative
" Reminders are good! Speaking of which, we haven`t had a Posture Check in awhile.....",positive
_ What did he say about it?? Gosh! I missed the yesterday live chat.. I was at bed.. sick,negative
" and Amanda Peet in A lot Like Love. Loves it.. Classic, really",positive
OMGSH IM BEING FOLLOWED BY >>PARAMORE<< :O,positive
